Step Steps Size AveragePathLength
1000000 1000000000 1000 10.943
2000000 1000000000 1000 10.625
3000000 1000000000 1000 10.378
4000000 1000000000 1000 10.348
5000000 1000000000 1000 11.434
6000000 1000000000 1000 12.383
7000000 1000000000 1000 10.171
8000000 1000000000 1000 11.266
9000000 1000000000 1000 11.553
10000000 1000000000 1000 11.168
11000000 1000000000 1000 12.277
12000000 1000000000 1000 11.436
13000000 1000000000 1000 10.32
14000000 1000000000 1000 10.577
15000000 1000000000 1000 10.798
16000000 1000000000 1000 11.504
17000000 1000000000 1000 9.827
18000000 1000000000 1000 10.288
19000000 1000000000 1000 11.326
20000000 1000000000 1000 10.773
21000000 1000000000 1000 10.976
22000000 1000000000 1000 11.07
23000000 1000000000 1000 11.313
24000000 1000000000 1000 11.198
25000000 1000000000 1000 10.439
26000000 1000000000 1000 12.004
27000000 1000000000 1000 11.072
28000000 1000000000 1000 11.708
29000000 1000000000 1000 11.862
30000000 1000000000 1000 10.771
31000000 1000000000 1000 9.868
32000000 1000000000 1000 10.417
33000000 1000000000 1000 11.095
34000000 1000000000 1000 10.123
35000000 1000000000 1000 12.44
36000000 1000000000 1000 10.916
37000000 1000000000 1000 10.462
38000000 1000000000 1000 10.974
39000000 1000000000 1000 10.736
40000000 1000000000 1000 11.315
41000000 1000000000 1000 11.24
42000000 1000000000 1000 10.539
43000000 1000000000 1000 13.282
44000000 1000000000 1000 10.332
45000000 1000000000 1000 10.479
46000000 1000000000 1000 9.99
47000000 1000000000 1000 10.364
48000000 1000000000 1000 12.736
49000000 1000000000 1000 10.377
50000000 1000000000 1000 11.218
51000000 1000000000 1000 10.742
52000000 1000000000 1000 10.878
53000000 1000000000 1000 11.679
54000000 1000000000 1000 10.727
55000000 1000000000 1000 10.956
56000000 1000000000 1000 10.762
57000000 1000000000 1000 11.077
58000000 1000000000 1000 12.343
59000000 1000000000 1000 11.5
60000000 1000000000 1000 13.596
61000000 1000000000 1000 11.107
62000000 1000000000 1000 11.057
63000000 1000000000 1000 10.65
64000000 1000000000 1000 11.463
65000000 1000000000 1000 10.598
66000000 1000000000 1000 11.649
67000000 1000000000 1000 10.969
68000000 1000000000 1000 11.315
69000000 1000000000 1000 12.06
70000000 1000000000 1000 10.238
71000000 1000000000 1000 10.18
72000000 1000000000 1000 10.932
73000000 1000000000 1000 11.199
74000000 1000000000 1000 10.995
75000000 1000000000 1000 10.309
76000000 1000000000 1000 11.609
77000000 1000000000 1000 10.989
78000000 1000000000 1000 10.445
79000000 1000000000 1000 10.087
