Step Steps Size AveragePathLength
1000000 1000000000 1000 10.735
2000000 1000000000 1000 10.397
3000000 1000000000 1000 9.597
4000000 1000000000 1000 9.552
5000000 1000000000 1000 10.332
6000000 1000000000 1000 11.14
7000000 1000000000 1000 9.26
8000000 1000000000 1000 9.933
9000000 1000000000 1000 10.914
10000000 1000000000 1000 9.582
11000000 1000000000 1000 11.276
12000000 1000000000 1000 9.592
13000000 1000000000 1000 9.811
14000000 1000000000 1000 9.972
15000000 1000000000 1000 10.02
16000000 1000000000 1000 10.398
17000000 1000000000 1000 9.333
18000000 1000000000 1000 9.995
19000000 1000000000 1000 9.999
20000000 1000000000 1000 11.274
21000000 1000000000 1000 9.801
22000000 1000000000 1000 10.211
23000000 1000000000 1000 9.603
24000000 1000000000 1000 10.039
25000000 1000000000 1000 10.157
26000000 1000000000 1000 10.721
27000000 1000000000 1000 10.222
28000000 1000000000 1000 10.443
29000000 1000000000 1000 10.506
30000000 1000000000 1000 10.043
31000000 1000000000 1000 9.349
32000000 1000000000 1000 9.927
33000000 1000000000 1000 9.71
34000000 1000000000 1000 9.313
35000000 1000000000 1000 12.394
36000000 1000000000 1000 9.965
37000000 1000000000 1000 9.46
38000000 1000000000 1000 10.033
39000000 1000000000 1000 9.999
40000000 1000000000 1000 10.719
41000000 1000000000 1000 10.201
42000000 1000000000 1000 9.414
43000000 1000000000 1000 12.248
44000000 1000000000 1000 9.559
45000000 1000000000 1000 10.039
46000000 1000000000 1000 9.318
47000000 1000000000 1000 9.4
48000000 1000000000 1000 10.07
49000000 1000000000 1000 10.268
50000000 1000000000 1000 9.79
51000000 1000000000 1000 10.169
52000000 1000000000 1000 9.971
53000000 1000000000 1000 11.395
54000000 1000000000 1000 9.699
55000000 1000000000 1000 10.021
56000000 1000000000 1000 10.365
57000000 1000000000 1000 11.005
58000000 1000000000 1000 10.226
59000000 1000000000 1000 10.455
60000000 1000000000 1000 11.96
61000000 1000000000 1000 9.914
62000000 1000000000 1000 9.446
63000000 1000000000 1000 9.64
64000000 1000000000 1000 9.575
65000000 1000000000 1000 9.738
66000000 1000000000 1000 10.182
67000000 1000000000 1000 10.288
68000000 1000000000 1000 9.942
69000000 1000000000 1000 10.105
70000000 1000000000 1000 9.616
71000000 1000000000 1000 10.072
72000000 1000000000 1000 9.904
73000000 1000000000 1000 10.319
74000000 1000000000 1000 9.708
75000000 1000000000 1000 9.93
76000000 1000000000 1000 10.124
77000000 1000000000 1000 10.988
78000000 1000000000 1000 9.957
79000000 1000000000 1000 9.53
80000000 1000000000 1000 9.863
81000000 1000000000 1000 10.656
82000000 1000000000 1000 9.392
83000000 1000000000 1000 10.408
84000000 1000000000 1000 11.024
85000000 1000000000 1000 10.208
86000000 1000000000 1000 9.725
87000000 1000000000 1000 11.571
88000000 1000000000 1000 9.418
89000000 1000000000 1000 9.614
90000000 1000000000 1000 10.336
91000000 1000000000 1000 9.384
92000000 1000000000 1000 10.82
93000000 1000000000 1000 10.08
94000000 1000000000 1000 10.202
95000000 1000000000 1000 9.535
96000000 1000000000 1000 10.249
97000000 1000000000 1000 10.545
98000000 1000000000 1000 10.863
99000000 1000000000 1000 10.629
100000000 1000000000 1000 10.122
101000000 1000000000 1000 10.353
102000000 1000000000 1000 10.698
103000000 1000000000 1000 9.53
104000000 1000000000 1000 10.562
105000000 1000000000 1000 9.596
106000000 1000000000 1000 9.938
107000000 1000000000 1000 9.733
108000000 1000000000 1000 10.928
109000000 1000000000 1000 10.276
110000000 1000000000 1000 9.52
111000000 1000000000 1000 9.628
112000000 1000000000 1000 10.127
113000000 1000000000 1000 9.813
114000000 1000000000 1000 10.019
115000000 1000000000 1000 9.654
116000000 1000000000 1000 9.68
117000000 1000000000 1000 10.887
118000000 1000000000 1000 9.344
119000000 1000000000 1000 11.14
120000000 1000000000 1000 10.665
121000000 1000000000 1000 10.034
122000000 1000000000 1000 9.596
123000000 1000000000 1000 9.809
124000000 1000000000 1000 9.76
125000000 1000000000 1000 10.462
126000000 1000000000 1000 11.375
127000000 1000000000 1000 9.782
128000000 1000000000 1000 10.609
129000000 1000000000 1000 10.247
130000000 1000000000 1000 10.195
131000000 1000000000 1000 10.48
132000000 1000000000 1000 10.254
133000000 1000000000 1000 9.658
134000000 1000000000 1000 10.167
135000000 1000000000 1000 11.061
136000000 1000000000 1000 10.205
137000000 1000000000 1000 9.579
138000000 1000000000 1000 10.277
139000000 1000000000 1000 11.005
140000000 1000000000 1000 11.591
141000000 1000000000 1000 9.777
142000000 1000000000 1000 9.438
143000000 1000000000 1000 9.706
144000000 1000000000 1000 9.666
145000000 1000000000 1000 10.338
146000000 1000000000 1000 10.218
147000000 1000000000 1000 11.127
148000000 1000000000 1000 9.456
149000000 1000000000 1000 10.201
150000000 1000000000 1000 9.747
151000000 1000000000 1000 10.381
152000000 1000000000 1000 11.245
153000000 1000000000 1000 10.256
154000000 1000000000 1000 9.828
155000000 1000000000 1000 10.621
156000000 1000000000 1000 9.515
157000000 1000000000 1000 10.007
158000000 1000000000 1000 10.426
159000000 1000000000 1000 10.821
160000000 1000000000 1000 9.667
161000000 1000000000 1000 10.533
162000000 1000000000 1000 10.663
163000000 1000000000 1000 10.297
164000000 1000000000 1000 9.464
165000000 1000000000 1000 10.108
166000000 1000000000 1000 10.038
167000000 1000000000 1000 9.578
168000000 1000000000 1000 9.997
169000000 1000000000 1000 12.544
170000000 1000000000 1000 10.618
171000000 1000000000 1000 10.904
172000000 1000000000 1000 10.249
173000000 1000000000 1000 10.196
174000000 1000000000 1000 9.953
175000000 1000000000 1000 10.03
176000000 1000000000 1000 9.498
177000000 1000000000 1000 9.982
178000000 1000000000 1000 10.87
179000000 1000000000 1000 9.36
180000000 1000000000 1000 9.987
181000000 1000000000 1000 9.523
182000000 1000000000 1000 10.038
183000000 1000000000 1000 9.783
184000000 1000000000 1000 10.134
185000000 1000000000 1000 10.052
