Step Steps Size AveragePathLength
1000000 1000000000 1000 11.268
2000000 1000000000 1000 10.215
3000000 1000000000 1000 10.525
4000000 1000000000 1000 10.489
5000000 1000000000 1000 10.318
6000000 1000000000 1000 11.942
7000000 1000000000 1000 9.831
8000000 1000000000 1000 10.046
9000000 1000000000 1000 10.743
10000000 1000000000 1000 10.546
11000000 1000000000 1000 11.751
12000000 1000000000 1000 10.718
13000000 1000000000 1000 10.787
14000000 1000000000 1000 10.004
15000000 1000000000 1000 10.01
16000000 1000000000 1000 11.075
17000000 1000000000 1000 9.608
18000000 1000000000 1000 9.88
19000000 1000000000 1000 10.201
20000000 1000000000 1000 11.638
21000000 1000000000 1000 10.978
22000000 1000000000 1000 10.27
23000000 1000000000 1000 9.774
24000000 1000000000 1000 10.556
25000000 1000000000 1000 10.784
26000000 1000000000 1000 10.585
27000000 1000000000 1000 10.524
28000000 1000000000 1000 10.625
29000000 1000000000 1000 11.812
30000000 1000000000 1000 10.628
31000000 1000000000 1000 9.912
32000000 1000000000 1000 10.369
33000000 1000000000 1000 10.282
34000000 1000000000 1000 9.955
35000000 1000000000 1000 12.807
36000000 1000000000 1000 10.301
37000000 1000000000 1000 10.15
38000000 1000000000 1000 10.751
39000000 1000000000 1000 10.808
40000000 1000000000 1000 10.989
41000000 1000000000 1000 10.12
42000000 1000000000 1000 9.866
43000000 1000000000 1000 11.314
44000000 1000000000 1000 9.822
45000000 1000000000 1000 10.417
46000000 1000000000 1000 9.7
47000000 1000000000 1000 9.757
48000000 1000000000 1000 10.588
49000000 1000000000 1000 11.096
50000000 1000000000 1000 10.82
51000000 1000000000 1000 10.119
52000000 1000000000 1000 9.819
53000000 1000000000 1000 11.859
54000000 1000000000 1000 9.806
55000000 1000000000 1000 10.508
56000000 1000000000 1000 10.881
57000000 1000000000 1000 11.183
58000000 1000000000 1000 10.25
59000000 1000000000 1000 11.561
60000000 1000000000 1000 11.729
61000000 1000000000 1000 10.525
62000000 1000000000 1000 9.785
63000000 1000000000 1000 10.469
64000000 1000000000 1000 10.028
65000000 1000000000 1000 10.165
66000000 1000000000 1000 9.923
67000000 1000000000 1000 10.615
68000000 1000000000 1000 10.554
69000000 1000000000 1000 10.929
70000000 1000000000 1000 10.053
71000000 1000000000 1000 9.872
72000000 1000000000 1000 10.944
73000000 1000000000 1000 10.787
74000000 1000000000 1000 10.122
75000000 1000000000 1000 11.503
76000000 1000000000 1000 11.49
77000000 1000000000 1000 11.178
78000000 1000000000 1000 9.996
79000000 1000000000 1000 10.304
80000000 1000000000 1000 10.355
81000000 1000000000 1000 10.92
82000000 1000000000 1000 10.074
83000000 1000000000 1000 10.704
84000000 1000000000 1000 10.687
85000000 1000000000 1000 10.644
86000000 1000000000 1000 10.359
87000000 1000000000 1000 12.241
88000000 1000000000 1000 10.067
89000000 1000000000 1000 9.694
90000000 1000000000 1000 10.649
91000000 1000000000 1000 9.871
92000000 1000000000 1000 11.062
93000000 1000000000 1000 9.863
94000000 1000000000 1000 10.583
95000000 1000000000 1000 9.845
96000000 1000000000 1000 10.145
97000000 1000000000 1000 11.266
98000000 1000000000 1000 11.715
99000000 1000000000 1000 10.582
100000000 1000000000 1000 10.525
101000000 1000000000 1000 10.57
102000000 1000000000 1000 11.388
103000000 1000000000 1000 10.552
104000000 1000000000 1000 10.926
105000000 1000000000 1000 10.019
106000000 1000000000 1000 10.369
107000000 1000000000 1000 10.892
108000000 1000000000 1000 10.65
109000000 1000000000 1000 10.44
110000000 1000000000 1000 9.716
111000000 1000000000 1000 9.793
112000000 1000000000 1000 11.017
113000000 1000000000 1000 10.498
114000000 1000000000 1000 10.576
115000000 1000000000 1000 9.953
116000000 1000000000 1000 10.084
117000000 1000000000 1000 11.252
118000000 1000000000 1000 10.058
119000000 1000000000 1000 11.508
120000000 1000000000 1000 11.526
121000000 1000000000 1000 10.856
122000000 1000000000 1000 9.799
123000000 1000000000 1000 9.709
124000000 1000000000 1000 10.005
125000000 1000000000 1000 10.985
126000000 1000000000 1000 11.551
127000000 1000000000 1000 10.122
128000000 1000000000 1000 10.642
129000000 1000000000 1000 10.25
130000000 1000000000 1000 10.611
131000000 1000000000 1000 11.266
132000000 1000000000 1000 10.491
133000000 1000000000 1000 10.534
134000000 1000000000 1000 11.582
135000000 1000000000 1000 11.159
136000000 1000000000 1000 10.312
137000000 1000000000 1000 9.845
138000000 1000000000 1000 10.598
139000000 1000000000 1000 11.3
140000000 1000000000 1000 10.643
141000000 1000000000 1000 11.602
142000000 1000000000 1000 9.662
143000000 1000000000 1000 10.339
144000000 1000000000 1000 9.935
145000000 1000000000 1000 10.859
146000000 1000000000 1000 10.617
147000000 1000000000 1000 11.182
148000000 1000000000 1000 10.138
149000000 1000000000 1000 10.335
150000000 1000000000 1000 9.962
151000000 1000000000 1000 10.63
152000000 1000000000 1000 11.412
153000000 1000000000 1000 10.643
154000000 1000000000 1000 9.903
155000000 1000000000 1000 11.873
156000000 1000000000 1000 10.227
157000000 1000000000 1000 10.843
158000000 1000000000 1000 10.684
159000000 1000000000 1000 11.902
160000000 1000000000 1000 10.088
161000000 1000000000 1000 10.134
162000000 1000000000 1000 10.941
163000000 1000000000 1000 10.356
164000000 1000000000 1000 10.369
165000000 1000000000 1000 10.634
166000000 1000000000 1000 10.443
167000000 1000000000 1000 9.674
168000000 1000000000 1000 10.388
169000000 1000000000 1000 12.591
170000000 1000000000 1000 10.745
171000000 1000000000 1000 11.982
172000000 1000000000 1000 10.78
