Step Steps Size AveragePathLength
1000000 1000000000 1000 11.455
2000000 1000000000 1000 12.254
3000000 1000000000 1000 11.574
4000000 1000000000 1000 10.702
5000000 1000000000 1000 11.953
6000000 1000000000 1000 11.97
7000000 1000000000 1000 11.058
8000000 1000000000 1000 11.727
9000000 1000000000 1000 12.843
10000000 1000000000 1000 11.304
11000000 1000000000 1000 12.767
12000000 1000000000 1000 12.192
13000000 1000000000 1000 11.193
14000000 1000000000 1000 11.09
15000000 1000000000 1000 11.442
16000000 1000000000 1000 10.872
17000000 1000000000 1000 11.039
18000000 1000000000 1000 10.998
19000000 1000000000 1000 11.088
20000000 1000000000 1000 11.338
21000000 1000000000 1000 11.015
22000000 1000000000 1000 11.621
23000000 1000000000 1000 11.878
24000000 1000000000 1000 11.268
25000000 1000000000 1000 11.645
26000000 1000000000 1000 11.313
27000000 1000000000 1000 10.601
28000000 1000000000 1000 12.444
29000000 1000000000 1000 13.034
30000000 1000000000 1000 10.978
31000000 1000000000 1000 10.375
32000000 1000000000 1000 11.028
33000000 1000000000 1000 10.887
34000000 1000000000 1000 11.097
35000000 1000000000 1000 13.376
36000000 1000000000 1000 10.341
37000000 1000000000 1000 10.994
38000000 1000000000 1000 11.686
39000000 1000000000 1000 11.112
40000000 1000000000 1000 12.367
41000000 1000000000 1000 11.616
42000000 1000000000 1000 12.812
43000000 1000000000 1000 12.272
44000000 1000000000 1000 11.199
45000000 1000000000 1000 10.789
46000000 1000000000 1000 11.42
47000000 1000000000 1000 11.552
48000000 1000000000 1000 11.197
49000000 1000000000 1000 10.546
50000000 1000000000 1000 11.172
51000000 1000000000 1000 11.4
52000000 1000000000 1000 12.328
53000000 1000000000 1000 12.202
54000000 1000000000 1000 10.699
55000000 1000000000 1000 11.088
56000000 1000000000 1000 10.983
57000000 1000000000 1000 11.244
58000000 1000000000 1000 12.655
59000000 1000000000 1000 11.568
60000000 1000000000 1000 14.31
61000000 1000000000 1000 11.505
62000000 1000000000 1000 12.192
63000000 1000000000 1000 10.313
64000000 1000000000 1000 10.987
65000000 1000000000 1000 11.523
66000000 1000000000 1000 12.058
67000000 1000000000 1000 11.015
68000000 1000000000 1000 12.244
69000000 1000000000 1000 12.441
70000000 1000000000 1000 11.052
71000000 1000000000 1000 11.202
72000000 1000000000 1000 10.619
73000000 1000000000 1000 11.384
74000000 1000000000 1000 10.997
75000000 1000000000 1000 11.716
76000000 1000000000 1000 13.284
77000000 1000000000 1000 11.318
78000000 1000000000 1000 11.133
79000000 1000000000 1000 11.705
80000000 1000000000 1000 11.798
81000000 1000000000 1000 12.013
82000000 1000000000 1000 11.822
83000000 1000000000 1000 11.492
84000000 1000000000 1000 10.305
85000000 1000000000 1000 12.784
86000000 1000000000 1000 12.069
87000000 1000000000 1000 11.906
88000000 1000000000 1000 11.211
89000000 1000000000 1000 10.821
90000000 1000000000 1000 11.133
91000000 1000000000 1000 10.975
92000000 1000000000 1000 12.114
93000000 1000000000 1000 10.635
94000000 1000000000 1000 11.326
95000000 1000000000 1000 10.652
96000000 1000000000 1000 12.176
97000000 1000000000 1000 11.137
98000000 1000000000 1000 12.876
99000000 1000000000 1000 12.415
100000000 1000000000 1000 11.603
101000000 1000000000 1000 11.897
102000000 1000000000 1000 11.397
103000000 1000000000 1000 10.695
104000000 1000000000 1000 10.962
105000000 1000000000 1000 10.404
106000000 1000000000 1000 11.047
107000000 1000000000 1000 11.409
108000000 1000000000 1000 14.214
109000000 1000000000 1000 11.601
110000000 1000000000 1000 10.998
111000000 1000000000 1000 10.735
112000000 1000000000 1000 11.828
113000000 1000000000 1000 11.805
114000000 1000000000 1000 11.49
115000000 1000000000 1000 10.584
116000000 1000000000 1000 10.486
117000000 1000000000 1000 12.462
118000000 1000000000 1000 10.728
119000000 1000000000 1000 12.217
120000000 1000000000 1000 11.931
121000000 1000000000 1000 12.121
122000000 1000000000 1000 11.248
123000000 1000000000 1000 12.131
124000000 1000000000 1000 11.519
125000000 1000000000 1000 11.21
126000000 1000000000 1000 11.827
127000000 1000000000 1000 11.089
128000000 1000000000 1000 11.501
129000000 1000000000 1000 11.598
130000000 1000000000 1000 11.299
131000000 1000000000 1000 11.467
132000000 1000000000 1000 11.437
133000000 1000000000 1000 11.475
134000000 1000000000 1000 11.587
135000000 1000000000 1000 11.335
136000000 1000000000 1000 10.735
137000000 1000000000 1000 11.119
138000000 1000000000 1000 11.942
139000000 1000000000 1000 11.537
140000000 1000000000 1000 11.259
141000000 1000000000 1000 12.31
142000000 1000000000 1000 10.408
143000000 1000000000 1000 11.967
144000000 1000000000 1000 10.777
145000000 1000000000 1000 13.718
146000000 1000000000 1000 11.871
147000000 1000000000 1000 10.966
148000000 1000000000 1000 12.052
149000000 1000000000 1000 11.697
150000000 1000000000 1000 13.002
151000000 1000000000 1000 11.517
152000000 1000000000 1000 12.86
153000000 1000000000 1000 11.058
154000000 1000000000 1000 10.611
155000000 1000000000 1000 11.773
156000000 1000000000 1000 10.793
157000000 1000000000 1000 12.725
158000000 1000000000 1000 11.604
159000000 1000000000 1000 12.668
160000000 1000000000 1000 11.494
161000000 1000000000 1000 12.449
162000000 1000000000 1000 12.537
163000000 1000000000 1000 12.16
164000000 1000000000 1000 10.501
165000000 1000000000 1000 11.136
166000000 1000000000 1000 11.678
167000000 1000000000 1000 11.211
168000000 1000000000 1000 12.474
169000000 1000000000 1000 13.551
170000000 1000000000 1000 10.92
171000000 1000000000 1000 13.32
172000000 1000000000 1000 11.396
173000000 1000000000 1000 12.166
174000000 1000000000 1000 11.178
175000000 1000000000 1000 11.527
176000000 1000000000 1000 11.088
177000000 1000000000 1000 11.178
178000000 1000000000 1000 12.547
179000000 1000000000 1000 10.816
180000000 1000000000 1000 12.56
181000000 1000000000 1000 12.134
182000000 1000000000 1000 11.936
183000000 1000000000 1000 10.829
184000000 1000000000 1000 10.611
185000000 1000000000 1000 10.857
186000000 1000000000 1000 12.079
187000000 1000000000 1000 11.647
188000000 1000000000 1000 11.858
189000000 1000000000 1000 11.308
190000000 1000000000 1000 11.646
191000000 1000000000 1000 11.058
192000000 1000000000 1000 10.351
193000000 1000000000 1000 12.427
194000000 1000000000 1000 11.089
195000000 1000000000 1000 11.965
196000000 1000000000 1000 13.106
197000000 1000000000 1000 10.444
198000000 1000000000 1000 12.357
199000000 1000000000 1000 12.034
200000000 1000000000 1000 12.075
201000000 1000000000 1000 12.267
202000000 1000000000 1000 11.017
203000000 1000000000 1000 12.789
204000000 1000000000 1000 12.102
205000000 1000000000 1000 12.052
206000000 1000000000 1000 11.997
207000000 1000000000 1000 11.9
208000000 1000000000 1000 12.244
209000000 1000000000 1000 11.88
210000000 1000000000 1000 13.344
211000000 1000000000 1000 11.455
212000000 1000000000 1000 11.576
213000000 1000000000 1000 11.554
214000000 1000000000 1000 10.725
215000000 1000000000 1000 10.652
216000000 1000000000 1000 10.801
217000000 1000000000 1000 11.467
218000000 1000000000 1000 11.74
219000000 1000000000 1000 11.406
220000000 1000000000 1000 12.094
221000000 1000000000 1000 12.479
222000000 1000000000 1000 11.567
223000000 1000000000 1000 12.218
224000000 1000000000 1000 11.745
225000000 1000000000 1000 11.164
226000000 1000000000 1000 11.741
227000000 1000000000 1000 10.742
228000000 1000000000 1000 12.3
229000000 1000000000 1000 10.481
230000000 1000000000 1000 10.594
231000000 1000000000 1000 11.107
232000000 1000000000 1000 10.198
233000000 1000000000 1000 10.816
234000000 1000000000 1000 10.226
235000000 1000000000 1000 11.198
236000000 1000000000 1000 10.804
237000000 1000000000 1000 11.723
238000000 1000000000 1000 11.303
239000000 1000000000 1000 10.851
