Step Steps Size AveragePathLength
1000000 1000000000 1000 10.962
2000000 1000000000 1000 10.196
3000000 1000000000 1000 9.986
4000000 1000000000 1000 10.123
5000000 1000000000 1000 10.917
6000000 1000000000 1000 12.369
7000000 1000000000 1000 10.387
8000000 1000000000 1000 10.89
9000000 1000000000 1000 11.269
10000000 1000000000 1000 10.196
11000000 1000000000 1000 12.266
12000000 1000000000 1000 11.309
13000000 1000000000 1000 11.176
14000000 1000000000 1000 10.265
15000000 1000000000 1000 10.278
16000000 1000000000 1000 10.772
17000000 1000000000 1000 9.847
18000000 1000000000 1000 10.563
19000000 1000000000 1000 10.17
20000000 1000000000 1000 11.117
21000000 1000000000 1000 10.4
22000000 1000000000 1000 11.094
23000000 1000000000 1000 10.163
24000000 1000000000 1000 10.681
25000000 1000000000 1000 10.979
26000000 1000000000 1000 10.922
27000000 1000000000 1000 11.362
28000000 1000000000 1000 11.673
29000000 1000000000 1000 11.396
30000000 1000000000 1000 11.056
31000000 1000000000 1000 9.864
32000000 1000000000 1000 11.316
33000000 1000000000 1000 11.167
34000000 1000000000 1000 10.083
35000000 1000000000 1000 12.431
36000000 1000000000 1000 10.176
37000000 1000000000 1000 9.788
38000000 1000000000 1000 10.814
39000000 1000000000 1000 10.14
40000000 1000000000 1000 11.499
41000000 1000000000 1000 10.296
42000000 1000000000 1000 10.001
43000000 1000000000 1000 11.637
44000000 1000000000 1000 10.549
45000000 1000000000 1000 10.606
46000000 1000000000 1000 9.885
47000000 1000000000 1000 10.201
48000000 1000000000 1000 10.854
49000000 1000000000 1000 10.295
50000000 1000000000 1000 10.783
51000000 1000000000 1000 10.639
52000000 1000000000 1000 10.616
53000000 1000000000 1000 11.915
54000000 1000000000 1000 10.401
55000000 1000000000 1000 11.175
56000000 1000000000 1000 10.804
57000000 1000000000 1000 10.615
58000000 1000000000 1000 10.248
59000000 1000000000 1000 10.775
60000000 1000000000 1000 12.718
61000000 1000000000 1000 10.54
62000000 1000000000 1000 10.245
63000000 1000000000 1000 10.806
64000000 1000000000 1000 10.177
65000000 1000000000 1000 10.473
66000000 1000000000 1000 10.413
67000000 1000000000 1000 10.687
68000000 1000000000 1000 11.264
69000000 1000000000 1000 11.738
70000000 1000000000 1000 11.025
71000000 1000000000 1000 10.08
72000000 1000000000 1000 10.542
73000000 1000000000 1000 11.408
74000000 1000000000 1000 9.912
75000000 1000000000 1000 11.416
76000000 1000000000 1000 11.542
77000000 1000000000 1000 10.328
78000000 1000000000 1000 10.305
79000000 1000000000 1000 11.371
80000000 1000000000 1000 11.243
81000000 1000000000 1000 11.466
82000000 1000000000 1000 9.984
83000000 1000000000 1000 11.091
84000000 1000000000 1000 11.267
85000000 1000000000 1000 10.121
86000000 1000000000 1000 10.022
87000000 1000000000 1000 11.372
88000000 1000000000 1000 10.272
89000000 1000000000 1000 10.662
90000000 1000000000 1000 10.334
91000000 1000000000 1000 10.259
92000000 1000000000 1000 10.96
93000000 1000000000 1000 10.928
94000000 1000000000 1000 10.434
95000000 1000000000 1000 10.378
96000000 1000000000 1000 11.192
97000000 1000000000 1000 11.163
98000000 1000000000 1000 12.531
99000000 1000000000 1000 11.354
100000000 1000000000 1000 10.617
101000000 1000000000 1000 11.143
102000000 1000000000 1000 10.709
103000000 1000000000 1000 10.504
104000000 1000000000 1000 12.071
105000000 1000000000 1000 10.004
106000000 1000000000 1000 10.329
107000000 1000000000 1000 11.407
108000000 1000000000 1000 11.506
109000000 1000000000 1000 10.461
110000000 1000000000 1000 10.172
111000000 1000000000 1000 9.815
112000000 1000000000 1000 11.949
113000000 1000000000 1000 10.639
114000000 1000000000 1000 10.746
115000000 1000000000 1000 9.889
116000000 1000000000 1000 10.117
117000000 1000000000 1000 11.222
118000000 1000000000 1000 10.023
119000000 1000000000 1000 11.4
120000000 1000000000 1000 11.497
121000000 1000000000 1000 10.063
122000000 1000000000 1000 10.015
123000000 1000000000 1000 12.06
124000000 1000000000 1000 10.12
125000000 1000000000 1000 11.017
126000000 1000000000 1000 12.232
127000000 1000000000 1000 10.63
128000000 1000000000 1000 10.664
129000000 1000000000 1000 10.447
130000000 1000000000 1000 10.467
131000000 1000000000 1000 11.022
132000000 1000000000 1000 11.094
133000000 1000000000 1000 11.237
134000000 1000000000 1000 11.531
135000000 1000000000 1000 10.824
136000000 1000000000 1000 10.383
137000000 1000000000 1000 10
138000000 1000000000 1000 11.394
139000000 1000000000 1000 11.349
140000000 1000000000 1000 10.621
141000000 1000000000 1000 12.263
142000000 1000000000 1000 10.225
143000000 1000000000 1000 10.109
144000000 1000000000 1000 9.803
145000000 1000000000 1000 11.404
146000000 1000000000 1000 10.461
147000000 1000000000 1000 12
148000000 1000000000 1000 10.573
149000000 1000000000 1000 11.178
150000000 1000000000 1000 10.632
151000000 1000000000 1000 10.982
152000000 1000000000 1000 12.364
153000000 1000000000 1000 11.171
154000000 1000000000 1000 10.575
